title,genre,description,language,duration,episodes,rating,cast,keywords,source,poster_url,combined_features
malcolm x,biography drama history,biographical epic of the controversial and influential black nationalist leader from his early life and career as a small time gangster to his ministry as a member of the nation of islam,english,202.0,1,7.7,denzel washington angela bassett delroy lindo spike lee,biography drama history,imdb,"https://m.media-amazon.com/images/M/MV5BZDkzOTFmMTUtMmI2OS00MDE4LTg5YTUtODMwNDMzNmI5OGYwL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR3,0,67,98_AL_.jpg",biography drama history english 202.0 1 biography drama history biographical epic of the controversial and influential black nationalist leader from his early life and career as a small time gangster to his ministry as a member of the nation of islam denzel washington angela bassett delroy lindo spike lee
the last of the mohicans,action adventure drama,three trappers protect the daughters of a british colonel in the midst of the french and indian war,english,112.0,1,7.7,daniel day lewis madeleine stowe russell means eric schweig,action adventure drama,imdb,"https://m.media-amazon.com/images/M/MV5BZDNiYmRkNDYtOWU1NC00NmMxLWFkNmUtMGI5NTJjOTJmYTM5XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure drama english 112.0 1 action adventure drama three trappers protect the daughters of a british colonel in the midst of the french and indian war daniel day lewis madeleine stowe russell means eric schweig
kurenai no buta,animation adventure comedy,in 1930s italy a veteran world war i pilot is cursed to look like an anthropomorphic pig,english,94.0,1,7.7,sh ichir moriyama tokiko kat bunshi katsura vi tsunehiko kamij,animation adventure comedy,imdb,"https://m.media-amazon.com/images/M/MV5BZjVkYmFkZWQtZmNjYy00NmFhLTliMWYtNThlOTUxNjg5ODdhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR4,0,67,98_AL_.jpg",animation adventure comedy english 94.0 1 animation adventure comedy in 1930s italy a veteran world war i pilot is cursed to look like an anthropomorphic pig sh ichir moriyama tokiko kat bunshi katsura vi tsunehiko kamij
glengarry glen ross,crime drama mystery,an examination of the machinations behind the scenes at a real estate office,english,100.0,1,7.7,al pacino jack lemmon alec baldwin alan arkin,crime drama mystery,imdb,"https://m.media-amazon.com/images/M/MV5BNTYzN2MxODMtMDBhOC00Y2M0LTgzMTItMzQ4NDIyYWIwMDEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX67_CR0,0,67,98_AL_.jpg",crime drama mystery english 100.0 1 crime drama mystery an examination of the machinations behind the scenes at a real estate office al pacino jack lemmon alec baldwin alan arkin
a few good men,drama thriller,military lawyer lieutenant daniel kaffee defends marines accused of murder they contend they were acting under orders,english,138.0,1,7.7,tom cruise jack nicholson demi moore kevin bacon,drama thriller,imdb,"https://m.media-amazon.com/images/M/MV5BMmRlZDQ1MmUtMzE2Yi00YTkxLTk1MGMtYmIyYWQwODcxYzRlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX67_CR0,0,67,98_AL_.jpg",drama thriller english 138.0 1 drama thriller military lawyer lieutenant daniel kaffee defends marines accused of murder they contend they were acting under orders tom cruise jack nicholson demi moore kevin bacon
fried green tomatoes,drama,a housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know,english,130.0,1,7.7,kathy bates jessica tandy mary stuart masterson mary louise parker,drama,imdb,"https://m.media-amazon.com/images/M/MV5BOWQ1ZWE0MTQtMmEwOS00YjA3LTgyZTAtNjY5ODEyZTJjNDI2XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX67_CR0,0,67,98_AL_.jpg",drama english 130.0 1 drama a housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know kathy bates jessica tandy mary stuart masterson mary louise parker
barton fink,comedy drama thriller,a renowned new york playwright is enticed to california to write for the movies and discovers the hellish truth of hollywood,english,116.0,1,7.7,ethan coen john turturro john goodman judy davis,comedy drama thriller,imdb,"https://m.media-amazon.com/images/M/MV5BMTgxMDMxMTctNDY0Zi00ZmNlLWFlYmQtODA2YjY4MDk4MjU1XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX67_CR0,0,67,98_AL_.jpg",comedy drama thriller english 116.0 1 comedy drama thriller a renowned new york playwright is enticed to california to write for the movies and discovers the hellish truth of hollywood ethan coen john turturro john goodman judy davis
miller s crossing,crime drama thriller,tom reagan an advisor to a prohibition era crime boss tries to keep the peace between warring mobs but gets caught in divided loyalties,english,115.0,1,7.7,ethan coen gabriel byrne albert finney john turturro,crime drama thriller,imdb,"https://m.media-amazon.com/images/M/MV5BMTY2Njk3MTAzM15BMl5BanBnXkFtZTgwMTY5Mzk4NjE@._V1_UX67_CR0,0,67,98_AL_.jpg",crime drama thriller english 115.0 1 crime drama thriller tom reagan an advisor to a prohibition era crime boss tries to keep the peace between warring mobs but gets caught in divided loyalties ethan coen gabriel byrne albert finney john turturro
who framed roger rabbit,animation adventure comedy,a toon hating detective is a cartoon rabbit s only hope to prove his innocence when he is accused of murder,english,104.0,1,7.7,bob hoskins christopher lloyd joanna cassidy charles fleischer,animation adventure comedy,imdb,"https://m.media-amazon.com/images/M/MV5BMDhiOTM2OTctODk3Ny00NWI4LThhZDgtNGQ4NjRiYjFkZGQzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg",animation adventure comedy english 104.0 1 animation adventure comedy a toon hating detective is a cartoon rabbit s only hope to prove his innocence when he is accused of murder bob hoskins christopher lloyd joanna cassidy charles fleischer
spoorloos,mystery thriller,rex and saskia a young couple in love are on vacation they stop at a busy service station and saskia is abducted after three years and no sign of saskia rex begins receiving letters from the abductor,english,107.0,1,7.7,bernard pierre donnadieu gene bervoets johanna ter steege gwen eckhaus,mystery thriller,imdb,"https://m.media-amazon.com/images/M/MV5BNDcwMTYzMjctN2M2Yy00ZDcxLWJhNTEtMGNhYzEwYzc2NDE4XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UY98_CR0,0,67,98_AL_.jpg",mystery thriller english 107.0 1 mystery thriller rex and saskia a young couple in love are on vacation they stop at a busy service station and saskia is abducted after three years and no sign of saskia rex begins receiving letters from the abductor bernard pierre donnadieu gene bervoets johanna ter steege gwen eckhaus
